127.0.0.1 - - [17/Jul/2023:23:01:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:01:47 +0530] "GET /smarteval/ HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:01:47 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:01:47 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:03:15 +0530] "GET /smarteval/ HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:06:54 +0530] "GET /smarteval/ HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:06:54 +0530] "GET /smarteval/IMG/homeImage.jpg HTTP/1.1" 200 386608
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:06:57 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:06:57 +0530] "GET /smarteval/IMG/homeImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:08:10 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:08:10 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:08:10 +0530] "GET /smarteval/IMG/homeImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:08:12 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:08:12 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:12:53 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:12:53 +0530] "GET /smarteval/IMG/homeImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:12:53 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:13:22 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:13:22 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:13:41 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:13:41 +0530] "GET /smarteval/IMG/homeImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:13:41 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:13:49 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:15:28 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:15:28 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2148
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:15:28 +0530] "GET /smarteval/IMG/homeImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:15:57 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1389
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:15:57 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:16:55 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1389
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:16:55 +0530] "GET /smarteval/IMG/homeImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:16:55 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:18:29 +0530] "GET /smarteval/index.jsp HTTP/1.1" 200 1389
